ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
11,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Để chuẩn bị cho bài ""Giao dịch điện tử"" (Chương 2), sinh viên cần tìm hiểu trước khái niệm nào?",SEO và SEM.,Hợp đồng điện tử.,Chuỗi cung ứng lạnh.,Livestream bán hàng.,B,Hợp đồng điện tử.,"Nội dung trọng tâm của Chương 2 bao gồm Hợp đồng điện tử và các quy trình giao kết, thanh toán."
12,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Khi phân tích đối thủ cạnh tranh trên sàn TMĐT, yếu tố nào dễ quan sát và so sánh nhất?",Lợi nhuận ròng.,Giá bán và đánh giá (Review).,Chi phí nhập hàng.,Lương nhân viên.,B,Giá bán và đánh giá (Review).,Giá cả và các đánh giá công khai của khách hàng là dữ liệu dễ tiếp cận nhất để so sánh năng lực cạnh tranh trên sàn.
13,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,Tại sao việc sử dụng các công cụ cộng tác như Google Docs/Trello lại được khuyến khích trong bài tập nhóm?,Để tăng độ phức tạp.,Để quản lý tiến độ và chia sẻ tài liệu.,Để thay thế hoàn toàn gặp mặt.,Để giám sát nhân viên.,B,Để quản lý tiến độ và chia sẻ tài liệu.,"Các công cụ này hỗ trợ cộng tác, theo dõi tiến độ và làm việc đồng thời trên tài liệu, giúp nhóm làm việc hiệu quả hơn."
14,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Trong tổng kết Chương 1, ""Mô hình 3 chiều"" dùng để phân loại điều gì của doanh nghiệp TMĐT?","Doanh thu, Chi phí, Lợi nhuận.","Mức độ số hóa (Sản phẩm, Quy trình, Giao hàng).",Quy mô nhân sự lớn hay nhỏ.,Số lượng chi nhánh bán lẻ.,B,"Mức độ số hóa (Sản phẩm, Quy trình, Giao hàng).","Ma trận 3 chiều phân loại mức độ số hóa của Sản phẩm, Quy trình và Đại lý giao hàng để xác định là TMĐT thuần túy hay bán phần."
15,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Khi lập kế hoạch TMĐT, rủi ro lớn nhất của việc phụ thuộc hoàn toàn vào một nền tảng thứ 3 (như Facebook) là gì?",Chi phí khởi tạo cao.,Mất quyền kiểm soát khi nền tảng thay đổi chính sách.,Không tiếp cận được khách hàng trẻ.,Phải tự xây dựng hệ thống thanh toán.,B,Mất quyền kiểm soát khi nền tảng thay đổi chính sách.,Phụ thuộc vào bên thứ 3 (như Facebook/Sàn) tạo ra rủi ro chiến lược khi nền tảng thay đổi thuật toán hoặc chính sách (như eBay/Facebook đã từng làm).
16,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Một dự án nhóm đề xuất mô hình ""C2B"" (Khách hàng bán cho Doanh nghiệp). Ví dụ nào phù hợp nhất?",Bán quần áo cũ trên Facebook.,Influencer bán dịch vụ quảng cáo cho nhãn hàng.,Công ty bán phần mềm cho chính phủ.,Siêu thị bán thực phẩm cho dân cư.,B,Influencer bán dịch vụ quảng cáo cho nhãn hàng.,Influencer (Cá nhân) sử dụng sức ảnh hưởng để cung cấp dịch vụ marketing cho Doanh nghiệp là một dạng C2B hiện đại.
17,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Trong bài tập phân tích gian hàng, nếu tỷ lệ ""Bỏ giỏ hàng"" (Cart Abandonment) cao, nguyên nhân kỹ thuật có thể là gì?",Giá sản phẩm quá cao.,Quy trình thanh toán quá phức tạp (nhiều bước).,Hình ảnh sản phẩm xấu.,Không có khuyến mãi.,B,Quy trình thanh toán quá phức tạp (nhiều bước).,"Quy trình checkout phức tạp, bắt buộc đăng ký tài khoản hoặc lỗi kỹ thuật là nguyên nhân hàng đầu khiến khách hàng bỏ dở việc thanh toán."
18,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Yếu tố nào sau đây là ""Tảng băng chìm"" (Phần khó thấy) quyết định sự thành bại của một dự án TMĐT?",Giao diện website đẹp.,Khả năng vận hành và Logistics (Fulfillment).,Số lượng người like fanpage.,Tên miền dễ nhớ.,B,Khả năng vận hành và Logistics (Fulfillment).,"Giao diện là phần nổi, nhưng hệ thống Fulfillment (xử lý đơn, kho bãi, giao hàng) là phần chìm quyết định trải nghiệm khách hàng và lợi nhuận."
19,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Tại sao mô hình ""Click-and-mortar"" thường bền vững hơn ""Pure-play"" trong giai đoạn hiện nay?",Vì không tốn chi phí thuê mặt bằng.,Tận dụng ưu thế đa kênh (Omnichannel).,Vì chỉ cần ít nhân viên hơn.,Vì không cần đầu tư công nghệ.,B,Tận dụng ưu thế đa kênh (Omnichannel).,"Click-and-mortar kết hợp ưu điểm của cả hai thế giới (trải nghiệm thực tế và tiện lợi số), tạo ra trải nghiệm đa kênh liền mạch mà Pure-play khó bắt chước."
20,Chương_1_Tiết 12 Thực hành và Làm việc nhóm,1,1,"Để chuẩn bị cho chủ đề ""Chữ ký số"" ở tuần sau, sinh viên cần hiểu tính chất pháp lý nào quan trọng nhất?",Tính thẩm mỹ của chữ ký.,Tính không thể chối bỏ (Non-repudiation).,Tốc độ ký nhanh.,Khả năng in ra giấy.,B,Tính không thể chối bỏ (Non-repudiation).,Giá trị cốt lõi của chữ ký số/điện tử là đảm bảo tính toàn vẹn và tính không thể chối bỏ (người ký không thể phủ nhận hành động của mình).
